"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
doonset_hepatitis,io_toxicities_and_adverse_events,Hepatitis,text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(2)] = '1'",,,,,,
hepatitis_toxicity_grade,io_toxicities_and_adverse_events,,text,"Grade of toxicity for hepatitis",,,,,,,"[io_toxicities(2)] = '1'",,,,,,
hepatitis_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(2)] = '1'",,,,,,
hepatitis_ster_dose,io_toxicities_and_adverse_events,,text,"Steroids Initial dose",,"(mg/kg; or mg)",,,,,,,,,,," @HIDDEN"
hepatitis_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(2)] = '1'",,,,,,
hepatitis_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(2)] = '1'",,,,,,
hepatitis_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms resolved",,,,,,,"[io_toxicities(2)] = '1'",,,,,,
hepatitis_resolution,io_toxicities_and_adverse_events,,text,"Date of resolution",,,date_mdy,,,,"[io_toxicities(2)] = '1'",,,,,,
hepatitis_relapse,io_toxicities_and_adverse_events,,yesno,"Relapse of hepatitis with continuation of immunotherapy",,,,,,,,,,,,," @HIDDEN"
hep_date_relapse,io_toxicities_and_adverse_events,,text,"Date of relapse",,,date_mdy,,,,,,,,,," @HIDDEN"
hepatitis_res_rel,io_toxicities_and_adverse_events,,text,"Date of resolution after relapse",,,date_mdy,,,,,,,,,," @HIDDEN"
hepatitis_relap_tx,io_toxicities_and_adverse_events,,text,"Type of treatment",,,,,,,,,,,,," @HIDDEN"
doonset_rash,io_toxicities_and_adverse_events,"Skin Rash",text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(3)] = '1'",,,,,,
rash_toxicity_grade,io_toxicities_and_adverse_events,,text,"Grade of toxicity for skin rash",,,,,,,"[io_toxicities(3)] = '1'",,,,,,
rash_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(3)] = '1'",,,,,,
hepatitis_othertx_2,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(3)] = '1'",,,,,,
rash_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(3)] = '1'",,,,,,
rash_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms resolved",,,,,,,"[io_toxicities(3)] = '1'",,,,,,
rash_resolution,io_toxicities_and_adverse_events,,text,"Date of resolution",,,date_mdy,,,,"[io_toxicities(3)] = '1'",,,,,,
doonset_puritis,io_toxicities_and_adverse_events,Puritis,text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(4)] = '1'",,,,,,
puritis_toxicity_grade,io_toxicities_and_adverse_events,,text,"Grade of toxicity for puritis",,,,,,,"[io_toxicities(4)] = '1'",,,,,,
puritis_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(4)] = '1'",,,,,,
puritis_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(4)] = '1'",,,,,,
puritis_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(4)] = '1'",,,,,,
puritis_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms resolved",,,,,,,"[io_toxicities(4)] = '1'",,,,,,
puritis_resolution,io_toxicities_and_adverse_events,,text,"Date of resolution",,,date_mdy,,,,"[io_toxicities(4)] = '1'",,,,,,
skintox_type,io_toxicities_and_adverse_events,"Skin Toxicity",text,"Type of skin toxicity",,,,,,,"[io_toxicities(5)] = '1'",,,,,,
doonset_skintox,io_toxicities_and_adverse_events,,text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(5)] = '1'",,,,,,
skintox_grade,io_toxicities_and_adverse_events,,text,"Grade of skin toxicity",,,,,,,"[io_toxicities(5)] = '1'",,,,,,
skintox_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(5)] = '1'",,,,,,
skintox_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms resolved",,,,,,,"[io_toxicities(5)] = '1'",,,,,,
skintox_res,io_toxicities_and_adverse_events,,text,"Date of resolution",,,date_mdy,,,,"[io_toxicities(5)] = '1'",,,,,,
skintox_steroids,io_toxicities_and_adverse_events,,text,"Systemic Steroids Initial dose",,"(mg/kg; or mg)",,,,,,,,,,," @HIDDEN"
skintox_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(5)] = '1'",,,,,,
skintox_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(5)] = '1'",,,,,,
skintox_relapse,io_toxicities_and_adverse_events,,yesno,"Relapse of skin toxicity with continuation of immunotherapy",,,,,,,,,,,,," @HIDDEN"
skintox_date_relapse,io_toxicities_and_adverse_events,,text,"Date of relapse",,,date_mdy,,,,,,,,,," @HIDDEN"
skintox_rel_res,io_toxicities_and_adverse_events,,text,"Date of resolution after relapse",,,date_mdy,,,,,,,,,," @HIDDEN"
skintox_txtype,io_toxicities_and_adverse_events,,text,"Type of treatment",,,,,,,,,,,,," @HIDDEN"
doonset_pneum,io_toxicities_and_adverse_events,Pneumonitis,text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(6)] = '1'",,,,,,
pneum_toxicity_grade,io_toxicities_and_adverse_events,,text,"Grade of toxicity for pneumonitis",,,,,,,"[io_toxicities(6)] = '1'",,,,,,
pneum_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(6)] = '1'",,,,,,
pneum_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms resolved",,,,,,,"[io_toxicities(6)] = '1'",,,,,,
pneum_res,io_toxicities_and_adverse_events,,text,"Date of resolution",,,date_mdy,,,,"[io_toxicities(6)] = '1'",,,,,,
pneum_steroid_dose,io_toxicities_and_adverse_events,,text,"Steroids Initial dose ",,"(mg/kg; or mg)",,,,,,,,,,," @HIDDEN"
pneum_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(6)] = '1'",,,,,,
pneum_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(6)] = '1'",,,,,,
pneum_relapse,io_toxicities_and_adverse_events,,yesno,"Relapse of pneumonitis with continuation of immunotherapy",,,,,,,,,,,,," @HIDDEN"
pneum_date_relapse,io_toxicities_and_adverse_events,,text,"Date of relapse",,,date_mdy,,,,,,,,,," @HIDDEN"
pneum_rel_res,io_toxicities_and_adverse_events,,text,"Date of resolution after relapse",,,date_mdy,,,,,,,,,," @HIDDEN"
pneum_txtype,io_toxicities_and_adverse_events,,text,"Type of treatment",,,,,,,,,,,,," @HIDDEN"
doonset_hypothy,io_toxicities_and_adverse_events,Hypothyroidism,text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(7)] = '1'",,,,,,
hypothy_toxicity_grade,io_toxicities_and_adverse_events,,text,"Grade of toxicity for hypothyroidism",,,,,,,"[io_toxicities(7)] = '1'",,,,,,
hypothy_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(7)] = '1'",,,,,,
hypothy_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(7)] = '1'",,,,,,
hypothy_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(7)] = '1'",,,,,,
hypothy_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms resolved",,,,,,,"[io_toxicities(7)] = '1'",,,,,,
hypothy_res,io_toxicities_and_adverse_events,,text,"Date of resolution",,,date_mdy,,,,"[io_toxicities(7)] = '1'",,,,,,
doonset_hyperthy,io_toxicities_and_adverse_events,Hyperthyroidism,text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(8)] = '1'",,,,,,
hyperthy_toxicity_grade,io_toxicities_and_adverse_events,,text,"Grade of toxicity for hyperthyroidism",,,,,,,"[io_toxicities(8)] = '1'",,,,,,
hyperthy_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(8)] = '1'",,,,,,
hyperthy_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(8)] = '1'",,,,,,
hyperthy_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(8)] = '1'",,,,,,
hyperthy_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms resolved",,,,,,,"[io_toxicities(8)] = '1'",,,,,,
hyperthy_res,io_toxicities_and_adverse_events,,text,"Date of resolution",,,date_mdy,,,,"[io_toxicities(8)] = '1'",,,,,,
doonset_hypophy,io_toxicities_and_adverse_events,Hypophysitis,text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(9)] = '1'",,,,,,
hypophy_toxicity_grade,io_toxicities_and_adverse_events,,text,"Grade of toxicity for hypophysitis",,,,,,,"[io_toxicities(9)] = '1'",,,,,,
hypophy_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(9)] = '1'",,,,,,
hypophy_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(9)] = '1'",,,,,,
hypophy_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(9)] = '1'",,,,,,
hypophy_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms resolved",,,,,,,"[io_toxicities(9)] = '1'",,,,,,
hypophy_res,io_toxicities_and_adverse_events,,text,"Date of resolution",,,date_mdy,,,,"[io_toxicities(9)] = '1'",,,,,,
endo_toxtype,io_toxicities_and_adverse_events,"Endocrine Toxicities",text,"Type of Endocrine Toxicity ",,,,,,,"[io_toxicities(10)] = '1'",,,,,,
endotox_grade,io_toxicities_and_adverse_events,,text,"Grade of endocrine toxicity",,,,,,,"[io_toxicities(10)] = '1'",,,,,,
doonset_endo,io_toxicities_and_adverse_events,,text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(10)] = '1'",,,,,,
endo_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(10)] = '1'",,,,,,
endo_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(10)] = '1'",,,,,,
endo_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(10)] = '1'",,,,,,
endo_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms Resolved",,,,,,,"[io_toxicities(10)] = '1'",,,,,,
endo_res,io_toxicities_and_adverse_events,,text,"Date of Resolution",,,date_mdy,,,,"[io_toxicities(10)] = '1'",,,,,,
endo_afternumdose,io_toxicities_and_adverse_events,,text,"After number of doses",,,,,,,"[io_toxicities(10)] = '1'",,,,,," @HIDDEN"
endo_rx,io_toxicities_and_adverse_events,,text,Rx,,,,,,,,,,,,," @HIDDEN"
doonset_jointpain,io_toxicities_and_adverse_events,"Immune related joint pain or arthritis",text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(11)] = '1'",,,,,,
jointpain_toxicity_grade,io_toxicities_and_adverse_events,,text,"Grade of joint paint or arthritis toxicity",,,,,,,"[io_toxicities(11)] = '1'",,,,,,
jointpain_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(11)] = '1'",,,,,,
jointpain_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(11)] = '1'",,,,,,
jointpain_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(11)] = '1'",,,,,,
jointpain_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms Resolved",,,,,,,"[io_toxicities(11)] = '1'",,,,,,
jointpain_res,io_toxicities_and_adverse_events,,text,"Date of Resolution",,,date_mdy,,,,"[io_toxicities(11)] = '1'",,,,,,
neurotox_descrptn,io_toxicities_and_adverse_events,"Immune related neurological toxcitities",text,"Please describe the neurological toxicity",,,,,,,"[io_toxicities(12)] = '1'",,,,,,
doonset_immneuro,io_toxicities_and_adverse_events,,text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(12)] = '1'",,,,,,
immneuro_toxicity_grade,io_toxicities_and_adverse_events,,text,"Grade of neurological toxicity",,,,,,,"[io_toxicities(12)] = '1'",,,,,,
immneuro_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(12)] = '1'",,,,,,
immneuro_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(12)] = '1'",,,,,,
immneuro_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(12)] = '1'",,,,,,
immneuro_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms Resolved",,,,,,,"[io_toxicities(12)] = '1'",,,,,,
immneuro_res_2,io_toxicities_and_adverse_events,,text,"Date of Resolution",,,date_mdy,,,,"[io_toxicities(12)] = '1'",,,,,,
doonset_immhem,io_toxicities_and_adverse_events,"Immune related hematological toxicity",text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(13)] = '1'",,,,,,
immhem_toxicity_grade,io_toxicities_and_adverse_events,,text,"Grade of hematological toxicity",,,,,,,"[io_toxicities(13)] = '1'",,,,,,
immhem_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(13)] = '1'",,,,,,
immhem_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(13)] = '1'",,,,,,
immhem_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(13)] = '1'",,,,,,
immhem_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms Resolved",,,,,,,"[io_toxicities(13)] = '1'",,,,,,
immhem_res,io_toxicities_and_adverse_events,,text,"Date of Resolution",,,date_mdy,,,,"[io_toxicities(13)] = '1'",,,,,,
doonset_muscskel,io_toxicities_and_adverse_events,"Musculoskeletal Toxicity",text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(14)] = '1'",,,,,,
muscskel_toxicity_grade,io_toxicities_and_adverse_events,,text,"Grade of musculoskeletal toxicity",,,,,,,"[io_toxicities(14)] = '1'",,,,,,
muscskel_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(14)] = '1'",,,,,,
muscskel_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(14)] = '1'",,,,,,
muscskel_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(14)] = '1'",,,,,,
muscskel_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms Resolved",,,,,,,"[io_toxicities(14)] = '1'",,,,,,
muscskel_res,io_toxicities_and_adverse_events,,text,"Date of Resolution",,,date_mdy,,,,"[io_toxicities(14)] = '1'",,,,,,
doonset_nephrotox,io_toxicities_and_adverse_events,"Nephrological Toxicity",text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(15)] = '1'",,,,,,
nephrotox_grade,io_toxicities_and_adverse_events,,text,"Grade of nephrological toxicity",,,,,,,"[io_toxicities(15)] = '1'",,,,,,
nephrotox_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(15)] = '1'",,,,,,
nephrotox_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(15)] = '1'",,,,,,
nephrotox_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(15)] = '1'",,,,,,
nephrotox_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms Resolved",,,,,,,"[io_toxicities(15)] = '1'",,,,,,
nephrotox_res,io_toxicities_and_adverse_events,,text,"Date of Resolution",,,date_mdy,,,,"[io_toxicities(15)] = '1'",,,,,,
doonset_cardiactox,io_toxicities_and_adverse_events,"Cardiac Toxicity",text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(17)] = '1'",,,,,,
cardiactox_grade,io_toxicities_and_adverse_events,,text,"Grade of cardiac toxicity",,,,,,,"[io_toxicities(17)] = '1'",,,,,,
cardiactox_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(17)] = '1'",,,,,,
cardiactox_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(17)] = '1'",,,,,,
cardiactox_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(17)] = '1'",,,,,,
cardiactox_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms Resolved",,,,,,,"[io_toxicities(17)] = '1'",,,,,,
cardiactox_res,io_toxicities_and_adverse_events,,text,"Date of Resolution",,,date_mdy,,,,"[io_toxicities(17)] = '1'",,,,,,
doonset_other,io_toxicities_and_adverse_events,"Other toxicity",text,"Date of Onset",,,date_mdy,,,,"[io_toxicities(16)] = '1'",,,,,,
other_toxicity,io_toxicities_and_adverse_events,,text,"Grade of toxicity for other adverse event",,,,,,,"[io_toxicities(16)] = '1'",,,,,,
other_steroids_yn,io_toxicities_and_adverse_events,,yesno,"Steroids use",,,,,,,"[io_toxicities(16)] = '1'",,,,,,
other_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,"[io_toxicities(16)] = '1'",,,,,,
other_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,"[io_toxicities(16)] = '1'",,,,,,
other_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms resolved",,,,,,,"[io_toxicities(16)] = '1'",,,,,,
other_resolution,io_toxicities_and_adverse_events,,text,"Date of resolution",,,date_mdy,,,,"[io_toxicities(16)] = '1'",,,,,,
other_dose_steroid,io_toxicities_and_adverse_events,,text,"Steroids Initial dose",,"(mg/kg; or mg)",,,,,,,,,,," @HIDDEN"
other_relapse,io_toxicities_and_adverse_events,,yesno,"Relapse of adverse event with continuation of treatment ",,,,,,,,,,,,," @HIDDEN"
other_date_relapse,io_toxicities_and_adverse_events,,text,"Date of relapse",,,date_mdy,,,,,,,,,," @HIDDEN"
other_rel_res,io_toxicities_and_adverse_events,,text,"Date of resolution after relapse",,,date_mdy,,,,,,,,,," @HIDDEN"
other_txtype,io_toxicities_and_adverse_events,,text,"Type of treatment",,,,,,,,,,,,," @HIDDEN"
rechallenge,io_toxicities_and_adverse_events,,yesno,"Re- challenge with previous immunotherapy if   â‰¥ grade 3 toxicity and/or previous discontinuation of treatment  ",,,,,,,,,,,,," @HIDDEN"
rechall_type,io_toxicities_and_adverse_events,,text,"Type of re-challenge",,,,,,,,,,,,," @HIDDEN"
rechall_toxrecur,io_toxicities_and_adverse_events,,yesno,"Re-currence of previous toxicity",,,,,,,,,,,,," @HIDDEN"
rechall_toxtype,io_toxicities_and_adverse_events,,text,"Type of Toxicity ",,,,,,,,,,,,," @HIDDEN"
rechall_doonset,io_toxicities_and_adverse_events,,text,"Date of Onset",,,date_mdy,,,,,,,,,," @HIDDEN"
rechall_res,io_toxicities_and_adverse_events,,text,"Date of resolution",,,date_mdy,,,,,,,,,," @HIDDEN"
rechall_doses,io_toxicities_and_adverse_events,,text,"After number of doses",,,,,,,,,,,,," @HIDDEN"
rechall_grade,io_toxicities_and_adverse_events,,text,"Grade of toxicity",,,,,,,,,,,,," @HIDDEN"
rechall_steroid,io_toxicities_and_adverse_events,,text,"Steroids Initial dose ",,"(mg/kg; or mg)",,,,,,,,,,," @HIDDEN"
rechall_othertx,io_toxicities_and_adverse_events,,text,"Any other agent used besides steroids for managements of toxicity?",,,,,,,,,,,,," @HIDDEN"
rechall_symp,io_toxicities_and_adverse_events,,yesno,"Symptoms resolved",,,,,,,,,,,,," @HIDDEN"
rechall_iodiscont,io_toxicities_and_adverse_events,,yesno,"Immunotherapy discontinued",,,,,,,,,,,,," @HIDDEN"
rechall_recur_doses,io_toxicities_and_adverse_events,,text,"Number of doses",,,,,,,,,,,,," @HIDDEN"
